고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
120,갈바눔수지오일,Galbanum Oil;Galbanum oil (Ferula spp.) (RIFM);Galbanum Resin Oil,Ferula Galbaniflua (Galbanum) Resin Oil,8023-91-4,"착향제, 피부컨디셔닝제(기타)",,,,,,H317,,,,,,,,,,
121,발삼코파이바수지,코파이바발삼레진(Copaifera Officinalis (Balsam Copaiba) Resin),Copaifera Officinalis (Balsam Copaiba) Resin,,"피막형성제, 착향제",A,C,AC,,,,,,,,,,,,,
122,알로에추출물,칸델라브라알로에잎추출물(Aloe Arborescens Leaf Extract) ,Aloe Arborescens Leaf Extract ,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
123,데하이드로아세틱애씨드,,Dehydroacetic Acid,16807-48-0;520-45-6;771-03-9,살균보존제,A,B,AB,,,,,,,,,,,,,
124,세틸피리디늄클로라이드,"cetylpyridinii chloridum (EP);cetylpyridinium chloride (INN);1-Hexadecylpyridinium Chloride;1-Palmitylpyridinium Chloride;Pyridinium, 1-Hexadecyl-, Chloride",Cetylpyridinium Chloride,123-03-5;6004-24-6,"정전기방지제, 탈취제",B,C,BC,,,,,,H318,,,,1,,,
125,헥실렌글라이콜,"2,4-Dihydroxy-2-Methylpentane;2-Methyl-2,4-pentandiol (RIFM);2-Methyl-2,4-Pentanediol;MPD;2,4-Pentanediol, 2-Methyl-;1,1,3-Trimethyltrimethylenediol",Hexylene Glycol,107-41-5,"착향제, 용제, 점도감소제",A,B,AB,,,,,,,,,,,,,
126,미네랄오일,"Deobase (RIFM);Heavy Mineral Oil;Hydrocarbon Oils;Light Mineral Oil;Liquid Paraffin;Liquid Petrolatum;Paraffin Oil;Paraffin oils (RIFM);Paraffinum Liquidum (EU);Prolatum Oil;White mineral oil, petroleum (RIFM)",Mineral Oil;Paraffinum Liquidum,8012-95-1;8020-83-5;8042-47-5,"착향제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제), 용제",B,A,BA,,H334,H317,,,H318,,,,,,,
127,페트롤라툼,Mineral Jelly;Petrolatum Amber;Petrolatum White;Petroleum Jelly;White Petrolatum;Yellow Petrolatum,Petrolatum,8009-03-08,"모발컨디셔닝제, 수분증발차단제, 피부보호제",B,B,BB,,,,H361,H350,,,,,,,,
128,스테아릭애씨드,n-Octadecanoic Acid;Stearic acid (RIFM),Stearic Acid,1957-11-04,"향료, 계면활성제-세정제, 계면활성제-유화제",A,B,AB,,,,,,,,,,,,,
129,스쿠알란,"2,6,10,15,19,23-Hexamethyltetracosane;Vegetable Squalane",Squalane,111-01-3,"모발컨디셔닝제, 수분증발차단제",A,C,AC,,,,,,,,,,,,,
130,글리세릴스테아레이트에스이,,Glyceryl Stearate SE,11099-07-3;85666-92-8,계면활성제(유화제),A,C,AC,,,,,,,,,,,,,
131,세테아레스-20,PEG-20 Cetostearyl Alcohol;PEG-20 Cetyl/Stearyl Ether;Polyethylene Glycol 1000 Cetyl/Stearyl Ether;Polyoxyethylene (20) Cetyl/Stearyl Ether,Ceteareth-20,68439-49-6,"계면활성제(세정제), 계면활성제(용해보조제)",B,C,BC,,,H317,,,H318,,,,,,,
132,라우레스-3,,Laureth-3,68002-97-1;3055-94-5;68439-50-9;9002-92-0,계면활성제(유화제),B,B,BB,,,,,H350,H318,,,,,,,
133,메틸파라벤,메칠파라벤 (Methylparaben),Methylparaben,99-76-3,"착향제, 살균보존제",B,B,BB,,H334,H317,H360,,H318,,,,,,,
134,다이클로로벤질알코올,"디클로로벤질알코올(Dichlorobenzyl Alcohol);Benzenemethanol, 2,4-Dichloro-;2,4-Dichlorobenzenemethanol;2,4-Dichlorobenzyl Alcohol",Dichlorobenzyl Alcohol,12041-76-8;1777-82-8,살균보존제,A,C,AC,,,,,,H318,,,,,,,
135,식물성스쿠알란,,Phytosqualane,,,A,C,AC,,,,,,,,,,,,,
136,오일팜오일,기름야자오일(Elaeis Guineensis (Palm) Oil),Elaeis Guineensis (Palm) Oil,8002-75-3,피부컨디셔닝제(수분차단제),A,B,AB,,,,,,,,유사EWG,,,,,
137,오일팜커넬오일,기름야자커넬오일(Elaeis Guineensis (Palm) Kernel Oil),Elaeis Guineensis (Palm) Kernel Oil,8023-79-8,"피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",,,,,,,,,,,,,,,,
138,스타아니스추출물,팔각회향추출물(Illicium Verum (Anise) Fruit Extract),Illicium Verum (Anise) Fruit Extract,84650-59-9,피부컨디셔닝제(기타),A,C,AC,S,,H317,,H351,,,,,,,,
139,하이드롤라이즈드콜라겐,"Collagen Hydrolysate;Hydrolyzed Animal Protein;Hydrolyzed Animal Protein Powder;Hydrolyzed Animal Protein Solution;Proteins, Collagen, Hydrolysate",Hydrolyzed Collagen,73049-73-7;92113-31-0,"모발컨디셔닝제, 손톱컨디셔닝제, 피부컨디셔닝제",A,C,AC,,,H317,,,,,,,,,,
140,알란토인,"(2,5-Dioxo-4-Imidazolidinyl)Urea;Glyoxyldiureid;Glyoxyldiureide;Glyoxylic Diureide;Urea, (2,5-Dioxo-4-Imidazolidinyl)-;5-Ureidohydantoin",Allantoin,97-59-6,"피부컨디셔닝제, 피부보호제",A,B,AB,,,,,,,,,,,,,
141,베타-글루칸,"β-D-Glucan, (1→3),(1→4), (1→6)",Beta-Glucan,53238-80-5;55965-23-6;160872-27-5,"벌킹제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
142,스페인감초뿌리추출물,"감초추출물(Glycyrrhiza Glabra (Licorice) Root Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Glycyrrhiza Inflata Root Extract)",Glycyrrhiza Glabra (Licorice) Root Extract,97676-23-8,"산화방지제, 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
143,라벤더수,,Lavandula Angustifolia (Lavender) Water,,착향제,A,C,AC,,,,,,,,,,,,,
144,로즈마리추출물,,Rosmarinus Officinalis (Rosemary) Extract,84604-14-8,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
145,소듐스테아로일글루타메이트,"L-Glutamic Acid, N-(1-Oxooctadecyl)-, Monosodium Salt;N-(1-Oxooctadecyl)-L-Glutamic Acid, Monosodium Salt;Sodium N-(1-Oxooctadecyl)-L-Glutamate;Sodium N-Stearoyl L-Glutamate",Sodium Stearoyl Glutamate,38517-23-6;79811-24-8,"모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제",A,C,AC,,,,,,,,,,,,,
146,"1,2-헥산다이올","1,2-헥산디올(1,2-Hexanediol);1,2-Dihydroxyhexane","1,2-Hexanediol",6920-22-5,용제,A,C,AC,,,,,,,,,,,,,
147,벤질알코올,alcohol benzylicus (EP);Benzenemethanol;benzyl alcohol (INN);Benzyl alcohol (RIFM);Benzylic Alcohol;Phenylcarbinol;Phenylmethanol;Phenylmethyl Alcohol;α-Toluenol,Benzyl Alcohol,100-51-6,"향료, 살균보존제, 용제, 점도감소제",B,B,BB,R,,H317,,,H318,,,,,,,
148,만주자작나무수액,"Birch Sap;자작나무수액(Betula Platyphylla Japonica Juice, Betula Alba Juice)",Betula Alba Juice,,,,,,,,,,,,,,,,,,
149,흰목이버섯추출물,Tremella Fuciformis Extract,Tremella Fuciformis (Mushroom) Extract,,피부컨디셔닝제(보습제),A,C,AC,,,,,,,,,,,,,
150,판테놀,"Butanamide, 2,4-Dihydroxy-N-(3-Hydroxypropyl)-3,3-Dimethyl-;Dexpanthenol;dexpanthenol (INN);dexpanthenolum (EP);2,4-Dihydroxy-N-(3-Hydroxypropyl)-3,3-Dimethylbutanamide;panthenol (INN);Pantothenol;Pantothenyl Alcohol;D-Pantothenyl Alcohol;DL-Pantothenyl Alcohol;Provitamin B5",Panthenol,81-13-0;16485-10-2,모발컨디셔닝제,A,C,AC,,,,,,,,,,,,,
151,메틸글루세스-20,메칠글루세스-20 (Methyl Gluceth-20),Methyl Gluceth-20,68239-42-9,피부컨디셔닝제(보습제),A,C,AC,,,,,,,,,,,,,
152,에리스리톨,"1,2,3,4-Butanetetrol;Butane-1,2,3,4-Tetrol;Tetrahydroxybutane",Erythritol,149-32-6;7541-59-5,"보습제
피부컨디셔닝제(보습제)",A,B,AB,,,,,,,,,,,,,
153,세라마이드엔피,세라마이드3 [Ceramide 3],Ceramide NP,,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
154,솔비탄스테아레이트,소르비탄스테아레이트 (Sorbitan Stearate),Sorbitan Stearate,1338-41-6;5093-91-4;56451-84-4,"착향제, 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
155,수크로오스스테아레이트,슈크로오스스테아레이트 (Sucrose Stearate),Sucrose Stearate,25168-73-4;37318-31-3,"피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
156,메틸프로판다이올,"메칠프로판디올 (Methylpropanediol);β-Hydroxyisobutanol;2-Methyl-1,3-Propanediol",Methylpropanediol,2163-42-0,용제,A,C,AC,,,,,,,,,,,,,
157,알지닌,"L-α-Amino-δ-Guanidinovaleric Acid;DL-Arginine;arginine (INN);L-Arginine;L-Norvaline, 5-((aminoiminomethyl)amino)-;L-Ornithine, N5-(aminoiminomethyl)-;Pentanoic Acid, 2-amino-5-((aminoiminomethyl)amino)-, (S)-",Arginine,74-79-3;7200-25-1,"향료, 모발컨디셔닝제, 스킨컨디셔닝제",A,B,AB,,,,,H351,,,,,,,,
158,카보머,Carbomer 910;Carbomer 934;Carbomer 940;Carbomer 941;carbomer (INN);Carbomer 934 P;Carbopol 910;Carboxyvinylpolymer,Carbomer,9003-01-4;9007-16-3;9007-17-4;9062-04-8;76050-42-5,"유화안정제, 점증제-수용성",A,B,AB,,,H317,,H350,H318,,,,,,,
159,에틸헥실글리세린,에칠헥실글리세린(Ethylhexylglycerin),Ethylhexylglycerin,70445-33-9,피부컨디셔닝제(기타),A,C,AC,,,,,,H318,,,,,,,
160,수크로오스,슈크로오스 (Sucrose),Sucrose,57-50-1,"감미제, 보습제",A,A,AA,,,,,,,,,,,,,
161,서양민들레잎추출물,,Taraxacum Officinale (Dandelion) Leaf Extract,68990-74-9,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
162,락토바실러스/콩추출물발효여과물,,Lactobacillus/Soybean Extract Ferment Filtrate,,,B,C,BC,,,,,,,,,,,,,
163,리놀레닉애씨드,,Linolenic Acid,463-40-1,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",A,B,AB,,H334,H317,,,,,,,,,,
164,브로콜리추출물,,Brassica Oleracea Italica (Broccoli) Extract,223749-36-8,수렴제,A,C,AC,,,,,,,,,,,,,
165,시금치추출물,Spinach Extract;Spinach Leaf Extract;Spinacia Oleracea Extract,Spinacia Oleracea (Spinach) Leaf Extract,90131-25-2,피부컨디셔닝제(기타),A,B,AB,,,,,,,,,,,,,
166,오렌지추출물,"Citrus Aurantium Dulcis Fruit Extract;Citrus Sinensis Extract;Orange Extract;Orange Fruit Extract;Orange peel, sweet, extract (Citrus sinensis L. Osbeck) (RIFM)",Citrus Aurantium Dulcis (Orange) Fruit Extract,84012-28-2,"향료, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
167,토마토추출물,,Solanum Lycopersicum (Tomato) Fruit Extract;Lycopersicon Esculentum Fruit Extract,90131-63-8,산화방지제,,,,,,,,,,,,,,,,
168,호두추출물,Walnut Seed Extract,Juglans Regia (Walnut) Seed Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
169,호박추출물,,Amber Extract,,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
170,올리브잎추출물,올리브나무잎추출물,Olea Europaea (Olive) Leaf Extract,8060-29-5,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
171,미네랄솔트,,Mineral Salts,,피부컨디셔닝제,A,C,AC,,,,,,,,,,,,,
172,다마스크장미꽃추출물,,Rosa Damascena Flower Extract,,향료,A,C,AC,,,,,,,,유사EWG,,,,,
173,바위돌꽃뿌리추출물,,Rhodiola Rosea Root Extract,,"피부유연화제, 피부보호제",A,C,AC,,,,,,,,유사EWG,,,,,
174,우스니아추출물,어스니어추출물 (Usnea Barbata (Lichen) Extract),Usnea Barbata (Lichen) Extract,84696-53-7,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
175,초피나무열매추출물,,Zanthoxylum Piperitum Fruit Extract,97404-53-0,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
176,할미꽃추출물,,Pulsatilla Koreana Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
177,님잎추출물,,Azadirachta Indica Leaf Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
178,청호추출물,개똥쑥추출물,Artemisia Annua Extract,84775-74-6,착향제,A,C,AC,,,H317,,,,,,,,,,
179,라벤더꽃추출물,,Lavandula Angustifolia (Lavender) Flower Extract,,착향제,A,C,AC,,,,,,,,,,,,,
180,로즈마리잎추출물,,Rosmarinus Officinalis (Rosemary) Leaf Extract,84604-14-8,"산화방지제, 착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,,,,,,
181,병풀추출물,Centella Extract;Fo-ti-tieng Extract;Gotu Kola Extract;Hydrocotyl Asiatica Extract;Hydrocotyl (Centella Asiatica) Extract;Hydrocotyle asiatica Extract;Hydrocotyl Extract,Centella Asiatica Extract,84696-21-9;84776-24-9,피부컨디셔닝제,A,C,AC,,,,,,,,유사EWG,,,,,
182,황금추출물,Ohgon;Scutellaria Root Extract,Scutellaria Baicalensis Root Extract,94279-99-9,피부컨디셔닝제(보습제),A,C,AC,,,,,,,,유사EWG,,,,,
183,에칠헥실메톡시신나메이트,"2-Ethylhexyl Methoxycinnamate;2-Ethylhexyl 4-Methoxycinnamate;p-Methoxycinnamic Acid, 2-Ethylhexyl Ester;3-(4-Methoxyphenyl)-2-Propenoic Acid, 2-Ethylhexyl Ester;Octinoxate (INN);Octyl Methoxycinnamate;2-Propenoic Acid, 3-(4-Methoxyphenyl)-, 2-Ethylhexyl Ester",Ethylhexyl Methoxycinnamate,5466-77-3,"광안정화제, 자외선차단제",,,,,,,,,,,,,,,,
184,프로판다이올,프로판디올 (Propanediol),Propanediol,504-63-2;26264-14-2,"용제, 점도감소제",A,B,AB,,,,,,,,,,,,,
185,사이클로펜타실록세인,사이클로펜타실록산(Cyclopentasiloxane),Cyclopentasiloxane,541-02-6,"헤어컨디셔닝제, 피부컨디셔닝제(유연제), 용제",B,B,BB,,,,H361,,,,,,,,,
186,이소아밀p-메톡시신나메이트,"amiloxate (INN);Isoamyl 2-(4-Methoxyphenyl)-2-Propenoate;Isopentyl 4-methoxycinnamate;3-(4-Methoxyphenyl)-2-Propenoic Acid, Isoamyl Ester;2-Propenoic Acid, 2-(4-Methoxyphenyl)-, 2-Methylbutyl Ester",Isoamyl p-Methoxycinnamate,71617-10-2,자외선차단제,A,C,AC,,,,,,,,,,,,,
187,티타늄디옥사이드,Amorphous Titanium Dioxide;CI 77891;Micro Particle Titanium Dioxide;Pigment White 6;titanii dioxidum (EP);Titanium Dioxide Sol;Titanium Oxide,Titanium Dioxide;CI 77891,13463-67-7,"착색제, 불투명화제, 자외선차단(기능성화장품)",B,A,BA,,H334,,,H350,H318,,,,,,,
188,포타슘세틸포스페이트,"1-Hexadecanol, Dihydrogen Phosphate, Monopotassium Salt;Phosphoric Acid, Cetyl Ester, Potassium Salt",Potassium Cetyl Phosphate,17026-85-6;19035-79-1,계면활성제-유화제,A,C,AC,,,,,,H318,,,,,,,
189,하이드로제네이티드폴리아이소부텐,하이드로제네이티드폴리이소부텐(Hydrogenated Polyisobutene),Hydrogenated Polyisobutene ,68937-10-0,"피부컨디셔닝제(유연제), 점도증가제(비수성)",A,C,AC,,,,,,,,,,,,,
190,비스-에칠헥실옥시페놀메톡시페닐트리아진,"Bemotrizinol 
Bis-Octoxyphenol Methoxyphenyl Triazine 
Phenol, 2,2'-[6-(4-Methoxyphenyl)-1,3,5-Triazine-2,4-Diyl]Bis[5-[(2-Ethylhexyl)Oxy]-",Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine ,187393-00-6,"모발컨디셔닝제, 자외선차단(기능성화장품)",A,C,AC,,,,,,,,,,,,,
191,피이지-10다이메티콘,피이지-10디메치콘 (PEG-10 Dimethicone),PEG-10 Dimethicone,68937-54-2,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",B,C,BC,,,,,,,,,,,,,
192,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리머(Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer),Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,111286-86-3,"유화안정제, 점도증가제(수성)",A,C,AC,,,,,,,,,,,,,
193,에틸헥산다이올,에칠헥산디올(Ethyl Hexanediol),Ethyl Hexanediol,1321-34-2;94-96-2,"착향제, 용제",B,C,BC,,,,H361,,H318,,,,,,,
194,솔비탄아이소스테아레이트,소르비탄이소스테아레이트 (Sorbitan Isostearate),Sorbitan Isostearate,54392-26-6;71902-01-7,계면활성제(유화제),A,C,AC,,,,,,,,,,,,,
195,다이메티콘/비닐다이메티콘크로스폴리머,디메치콘/비닐디메치콘크로스폴리머(Dimethicone/Vinyl Dimethicone Crosspolymer),Dimethicone/Vinyl Dimethicone Crosspolymer ,156065-02-0,점도증가제(비수성),A,C,AC,,,,,,,,,,,,,
196,알루미늄하이드록사이드,"Alumina Hydrate;Alumina, Hydrated;Alumina, Trihydrate;Aluminum Oxide, Hydrate;Aluminum Oxide Trihydrate;Aluminum Trihydroxide;Hydrated Alumina;Trihydroxy Aluminum",Aluminum Hydroxide,1333-84-2;21645-51-2,"불투명화제, 피부보호제",A,B,AB,,,,,,,,,,,,,
197,폴리솔베이트60,폴리소르베이트60 (Polysorbate 60),Polysorbate 60,9005-67-8,"착향제, 계면활성제(유화제), 계면활성제(용해보조제)",B,C,BC,,,,,,,,유사EWG,,,,,
198,폴리실리콘-11,,Polysilicone-11,63394-02-5,피막형성제,A,C,AC,,,,,,,,,,,,,
199,다이포타슘글리시리제이트,디포타슘글리시리제이트(Dipotassium Glycyrrhizate),Dipotassium Glycyrrhizate,68797-35-3,"감미제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
200,감초추출물,감초뿌리추출물,Glycyrrhiza Uralensis (Licorice) Root Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
201,올리브오일글리세레스-8에스터,,Olive Oil Glycereth-8 Esters,,"피부컨디셔닝제(유연제), 계면활성제(유화제)",,,,,,,,,,,,,,,,
202,하이드로제네이티드레시틴,"Hydrogenated Egg Yolk Phospholipids;Lecithin, Hydrogenated;Lecithins, Hydrogenated",Hydrogenated Lecithin,308068-11-3;92128-87-5,"계면활성제-유화제, 현탁화제-비계면활성제, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
203,소듐카보머,"Carbomer, Sodium Salt;α-D-Glucopyranoside, β-D-fructofuranosyl, di-2-propen-1-yl ether, polymer with β-D-fructofuranosyl α-D-glucopyranoside tri-2-propen-1-yl ether, 2-propenoic acid and sodium 2-propenoate (1:1)",Sodium Carbomer,73298-57-4,"유화안정제, 피막형성제, 점증제-수용성",A,C,AC,,,,,,,,,,,,,
204,소듐폴리아크릴로일다이메틸타우레이트,소듐폴리아크릴로일디메칠타우레이트 (Sodium Polyacryloyldimethyl Taurate) ,Sodium Polyacryloyldimethyl Taurate,35641-59-9,"유화안정제, 점도증가제(수성) ",A,C,AC,,,,,,,,,,,,,
205,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,,Acrylates/C10-30 Alkyl Acrylate Crosspolymer ,110-82-7,"유화안정제, 점증제-수용성, 점증제-비수용성",A,B,AB,,,,,,,,,,,,,
206,트리데세스-10,트라이데세스-10,Trideceth-10,24938-91-8,피부컨디셔닝제(유연제),A,C,AC,,,,,,H318,,,,,,,
207,선인장추출물,나이트블루밍세레우스추출물,Cereus Grandiflorus (Cactus) Extract,,"산화방지제, 수렴제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
208,밤껍질추출물,Castanea Crenata Shell Extract,Castanea Crenata (Chestnut) Shell Extract,,피부컨디셔닝제,,,,,,,,,,,,,,,,
209,베타인,"1-Carboxy-N,N,N-Trimethylmethanaminium Hydroxide, Inner Salt;Methanaminium, 1-Carboxy-N,N,N-Trimethyl-, Hydroxide, Inner Salt;Trimethylglycine",Betaine,107-43-7,"모발컨디셔닝제, 보습제, 피부보습제",A,B,AB,,,,,,,,,,,,,
210,비파나무잎추출물,Eryobotrya Japonica Leaf Extract;Eriobotrya Japonica Extract;Loquat (Eriobotrya Japonica) Leaf Extract;Loquat Leaf Extract,Eriobotrya Japonica Leaf Extract,91770-19-3,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
211,삼백초추출물,,Saururus Chinensis Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
212,오리나무추출물,,Alnus Japonica Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
213,연꽃씨추출물,인도연꽃씨추출물(Nelumbium Speciosum Seed Extract),Nelumbo Nucifera Seed Extract;Nelumbium Speciosum Seed Extract,85085-51-4,"산화방지제, 수렴제, 모발컨디셔닝제, 피부유연화제, 피부컨디셔닝제, 피부보호제",A,C,AC,,,,,,,,유사EWG,,,,,
214,당근추출물,,Daucus Carota Sativa (Carrot) Root Extract,84929-61-3,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
215,신선초추출물 ,명일엽추출물(Angelica Keiskei Extract),Angelica Keiskei Extract,,"산화방지제, 수렴제, 피부보호제, 피부컨디셔닝제(유연제)",A,C,AC,,,,,,,,,,,,,
216,사철쑥잎추출물,,Artemisia Capillaris Leaf Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
217,비타민나무오일,산자나무오일(Hippophae Rhamnoides Oil),Hippophae Rhamnoides Oil,90106-68-6,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,유사EWG,,,,,
218,보검선인장씨오일,,Opuntia Ficus-Indica Seed Oil,90082-21-6,피부컨디셔닝제(유연제),,,,,,,,,,,,,,,,
219,병풀잎수,,Centella Asiatica Leaf Water,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
220,헵틸운데실레네이트,"10-Undecenoic Acid, Heptyl Ester",Heptyl Undecylenate,68141-27-5,피부컨디셔닝제(유연제),,,,,,,,,,,,,,,,
221,마데카소사이드,,Madecassoside,34540-22-2,"산화방지제, 피부보호제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
222,폴리글리세릴-6카프릴레이트,,Polyglyceryl-6 Caprylate,,"피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
223,폴리글리세릴-3코코에이트,"Coconut Fatty Acids, Monoester with Triglycerol;Triglyceryl Monococoate",Polyglyceryl-3 Cocoate,,계면활성제(유화제),A,C,AC,,,,,,,,,,,,,
224,폴리글리세릴-4카프레이트,,Polyglyceryl-4 Caprate,74504-65-7;160391-93-5,"피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,H317,,,,,,,,,,
225,폴리글리세릴-6리시놀리에이트,Hexaglyceryl Monoricinoleate,Polyglyceryl-6 Ricinoleate,,"피부컨디셔닝제, 계면활성제-유화제",A,C,AC,,,,,,,,,,,,,
226,소듐벤조에이트,"Benzoic Acid, Sodium Salt;natrii benzoas (EP);Sodium benzoate (RIFM)",Sodium Benzoate,532-32-1,"부식방지제, 향료, 살균보존제",B,B,BB,,,H317,,,,,,,,,,
227,폴리글리세릴-2스테아레이트,"Diglyceryl Stearate;Octadecanoic Acid, Monoester with Diglycerol;9-Octadecanoic Acid, Monoester with Oxybis[Propanediol]",Polyglyceryl-2 Stearate,9009-32-9;12694-22-3,"피부유연화제, 계면활성제-유화제",A,C,AC,,,,,,,,,,,,,
